ID,Transport,Vehicle Type,Frequency of Traveling by Air,Vehicle Monthly Distance Km
976,private,electric,very frequently,8250
977,public,,very frequently,909
978,public,,never,356
979,walk/bicycle,,very frequently,47
980,private,diesel,very frequently,6142
981,public,,rarely,1808
982,public,,very frequently,1578
983,private,electric,never,3657
984,walk/bicycle,,very frequently,92
985,walk/bicycle,,never,74
986,public,,rarely,120
987,walk/bicycle,,frequently,19
988,public,,very frequently,521
989,walk/bicycle,,never,83
990,public,,very frequently,501
991,public,,very frequently,113
992,public,,never,654
993,public,,frequently,1733
994,walk/bicycle,,never,83
995,public,,rarely,707
996,private,petrol,frequently,3756
997,walk/bicycle,,rarely,56
998,private,petrol,frequently,7918
999,private,diesel,rarely,4757
1000,private,diesel,rarely,4411
1001,walk/bicycle,,never,62
1002,public,,frequently,1
1003,walk/bicycle,,very frequently,28
1004,walk/bicycle,,never,43
1005,private,electric,frequently,5823
1006,walk/bicycle,,rarely,8
1007,public,,frequently,1271
1008,private,petrol,never,9845
1009,public,,never,1157
1010,public,,rarely,476
1011,public,,frequently,482
1012,public,,very frequently,319
1013,walk/bicycle,,very frequently,50
1014,private,diesel,frequently,6395
1015,public,,frequently,1195
1016,private,hybrid,very frequently,4288
1017,walk/bicycle,,frequently,51
1018,public,,rarely,62
1019,public,,rarely,84
1020,public,,never,1267
1021,public,,very frequently,1920
1022,public,,rarely,1022
1023,public,,very frequently,103
1024,private,electric,never,6654
1025,public,,never,364
1026,walk/bicycle,,frequently,77
1027,public,,frequently,436
1028,public,,very frequently,808
1029,public,,rarely,1299
1030,walk/bicycle,,very frequently,45
1031,walk/bicycle,,frequently,0
1032,private,petrol,rarely,5203
1033,walk/bicycle,,frequently,89
1034,public,,frequently,1339
1035,public,,frequently,655
1036,public,,rarely,1705
1037,private,lpg,rarely,2498
1038,private,electric,frequently,5145
1039,private,hybrid,frequently,4595
1040,walk/bicycle,,very frequently,39
1041,walk/bicycle,,frequently,0
1042,walk/bicycle,,very frequently,6
1043,walk/bicycle,,rarely,2
1044,private,lpg,very frequently,6434
1045,public,,rarely,224
1046,private,petrol,rarely,3291
1047,public,,never,983
1048,public,,rarely,1218
1049,public,,frequently,1505
1050,walk/bicycle,,very frequently,3
1051,private,diesel,very frequently,189
1052,public,,very frequently,1749
1053,private,lpg,frequently,4037
1054,public,,never,1747
1055,private,lpg,frequently,2376
1056,private,electric,rarely,875
1057,public,,frequently,1997
1058,public,,very frequently,1097
1059,walk/bicycle,,rarely,58
1060,walk/bicycle,,frequently,31
1061,walk/bicycle,,never,60
1062,private,petrol,never,3709
1063,public,,very frequently,178
1064,public,,never,1465
1065,walk/bicycle,,very frequently,85
1066,walk/bicycle,,frequently,26
1067,walk/bicycle,,rarely,49
1068,public,,very frequently,578
1069,walk/bicycle,,frequently,77
1070,public,,frequently,1507
1071,private,hybrid,frequently,75
1072,private,electric,frequently,4749
1073,private,hybrid,frequently,4592
1074,walk/bicycle,,frequently,1
1075,private,petrol,very frequently,2950
1076,walk/bicycle,,very frequently,98
1077,private,electric,very frequently,5517
1078,private,petrol,never,4424
1079,public,,frequently,1916
1080,private,diesel,very frequently,4333
1081,walk/bicycle,,very frequently,90
1082,private,electric,very frequently,1210
1083,walk/bicycle,,frequently,97
1084,public,,rarely,1099
1085,public,,never,1934
1086,public,,frequently,783
1087,walk/bicycle,,rarely,46
1088,public,,very frequently,1250
1089,private,lpg,frequently,8105
1090,private,lpg,rarely,9007
1091,private,lpg,rarely,2349
1092,public,,very frequently,1671
1093,public,,very frequently,1330
1094,walk/bicycle,,frequently,71
1095,walk/bicycle,,very frequently,6
1096,walk/bicycle,,rarely,95
1097,public,,never,645
1098,private,diesel,frequently,486
1099,walk/bicycle,,very frequently,0
1100,walk/bicycle,,rarely,57
1101,public,,frequently,575
1102,public,,rarely,1483
1103,private,diesel,frequently,7545
1104,public,,never,201
1105,public,,never,468
1106,walk/bicycle,,frequently,17
1107,walk/bicycle,,very frequently,51
1108,private,lpg,very frequently,8722
1109,private,lpg,never,3972
1110,walk/bicycle,,frequently,51
1111,walk/bicycle,,rarely,27
1112,private,lpg,never,503
1113,public,,never,362
1114,walk/bicycle,,never,62
1115,private,lpg,never,9232
1116,private,lpg,rarely,3233
1117,private,lpg,very frequently,6659
1118,walk/bicycle,,frequently,86
1119,walk/bicycle,,rarely,85
1120,public,,frequently,1405
1121,walk/bicycle,,rarely,5
1122,walk/bicycle,,rarely,12
1123,public,,rarely,459
1124,public,,never,1748
1125,walk/bicycle,,rarely,70
1126,private,hybrid,very frequently,2054
1127,private,electric,frequently,5095
1128,private,electric,rarely,3850
1129,public,,rarely,1013
1130,walk/bicycle,,rarely,92
1131,walk/bicycle,,very frequently,4
1132,public,,very frequently,894
1133,public,,frequently,1393
1134,private,petrol,rarely,6239
1135,private,petrol,frequently,5278
1136,private,hybrid,never,125
1137,public,,never,1306
1138,private,electric,very frequently,4458
1139,walk/bicycle,,rarely,49
1140,public,,frequently,324
1141,private,electric,frequently,9384
1142,walk/bicycle,,never,34
1143,private,hybrid,rarely,8101
1144,public,,rarely,422
1145,walk/bicycle,,rarely,73
1146,private,diesel,very frequently,463
1147,private,diesel,very frequently,8107
1148,walk/bicycle,,very frequently,62
1149,public,,rarely,955
1150,private,lpg,very frequently,3470
1151,walk/bicycle,,frequently,1
1152,walk/bicycle,,very frequently,96
1153,walk/bicycle,,frequently,72
1154,walk/bicycle,,rarely,50
1155,walk/bicycle,,rarely,94
1156,walk/bicycle,,never,0
1157,walk/bicycle,,frequently,85
1158,public,,rarely,714
1159,public,,never,1047
1160,public,,very frequently,1276
1161,private,hybrid,very frequently,7656
1162,public,,very frequently,302
1163,walk/bicycle,,rarely,76
1164,public,,frequently,1693
1165,walk/bicycle,,never,6
1166,walk/bicycle,,very frequently,4
1167,public,,frequently,883
1168,public,,rarely,1202
1169,private,lpg,never,1536
1170,walk/bicycle,,rarely,47
1171,public,,very frequently,541
1172,walk/bicycle,,never,92
1173,private,lpg,very frequently,3183
1174,private,electric,rarely,6192
1175,walk/bicycle,,very frequently,68
1176,public,,rarely,1688
1177,private,hybrid,rarely,11
1178,private,lpg,rarely,2119
1179,walk/bicycle,,never,75
1180,private,hybrid,rarely,2180
1181,private,petrol,very frequently,8931
1182,public,,never,1490
1183,public,,rarely,272
1184,private,petrol,very frequently,5095
1185,public,,rarely,1388
1186,public,,never,1993
1187,walk/bicycle,,frequently,23
1188,public,,rarely,1785
1189,private,electric,rarely,7557
1190,walk/bicycle,,very frequently,27
1191,public,,very frequently,1801
1192,public,,very frequently,1766
1193,walk/bicycle,,very frequently,79
1194,walk/bicycle,,frequently,22
1195,public,,rarely,1928
1196,walk/bicycle,,rarely,50
1197,private,hybrid,very frequently,3162
1198,walk/bicycle,,rarely,81
1199,walk/bicycle,,frequently,69
1200,private,electric,never,1919
1201,walk/bicycle,,very frequently,69
1202,public,,frequently,819
1203,walk/bicycle,,frequently,6
1204,walk/bicycle,,frequently,92
1205,walk/bicycle,,never,13
1206,walk/bicycle,,frequently,69
1207,public,,rarely,1024
1208,public,,frequently,408
1209,public,,never,1319
1210,private,lpg,never,7598
1211,public,,very frequently,1062
1212,walk/bicycle,,never,12
1213,walk/bicycle,,very frequently,19
1214,public,,frequently,1004
1215,private,diesel,rarely,7363
1216,walk/bicycle,,rarely,68
1217,walk/bicycle,,rarely,55
1218,public,,rarely,1785
1219,public,,never,376
1220,public,,very frequently,1516
1221,walk/bicycle,,rarely,65
1222,walk/bicycle,,never,20
1223,walk/bicycle,,frequently,98
1224,private,hybrid,never,288
1225,private,hybrid,rarely,4998
1226,private,diesel,rarely,1340
1227,public,,never,1507
1228,walk/bicycle,,frequently,38
1229,private,hybrid,rarely,9798
1230,walk/bicycle,,rarely,40
1231,walk/bicycle,,very frequently,19
1232,public,,never,1386
1233,walk/bicycle,,very frequently,71
1234,public,,never,1767
1235,walk/bicycle,,frequently,24
1236,private,diesel,frequently,1658
1237,walk/bicycle,,never,1
1238,walk/bicycle,,very frequently,55
1239,private,lpg,frequently,5964
1240,walk/bicycle,,never,28
1241,private,hybrid,frequently,7304
1242,walk/bicycle,,frequently,28
1243,walk/bicycle,,very frequently,24
1244,public,,frequently,658
1245,walk/bicycle,,rarely,34
1246,walk/bicycle,,rarely,80
1247,public,,frequently,996
1248,public,,never,1993
1249,walk/bicycle,,rarely,80
1250,private,petrol,never,6574
1251,walk/bicycle,,very frequently,2
1252,public,,never,1697
1253,walk/bicycle,,rarely,20
1254,private,lpg,rarely,8770
1255,public,,very frequently,111
1256,public,,very frequently,74
1257,walk/bicycle,,never,41
1258,private,diesel,very frequently,8194
1259,public,,very frequently,203
1260,private,lpg,rarely,5074
1261,walk/bicycle,,never,20
1262,public,,never,551
1263,walk/bicycle,,rarely,86
1264,private,petrol,frequently,8922
1265,public,,rarely,1412
1266,public,,frequently,616
1267,public,,frequently,998
1268,private,hybrid,very frequently,2791
1269,walk/bicycle,,very frequently,45
1270,private,diesel,frequently,6207
1271,public,,very frequently,1960
1272,private,petrol,frequently,1614
1273,private,electric,rarely,5175
1274,public,,rarely,952
1275,private,hybrid,rarely,5738
1276,private,hybrid,rarely,8317
1277,walk/bicycle,,rarely,11
1278,walk/bicycle,,very frequently,52
1279,public,,very frequently,833
1280,public,,frequently,452
1281,public,,rarely,590
1282,public,,never,1840
1283,private,lpg,frequently,1060
1284,private,hybrid,never,5074
1285,public,,rarely,1134
1286,private,electric,frequently,1518
1287,public,,very frequently,1801
1288,public,,rarely,1903
1289,public,,never,770
1290,walk/bicycle,,frequently,0
1291,walk/bicycle,,rarely,10
1292,private,hybrid,rarely,2801
1293,private,diesel,frequently,8272
1294,walk/bicycle,,very frequently,85
1295,public,,frequently,785
1296,private,electric,never,9740
1297,public,,frequently,434
1298,walk/bicycle,,never,31
1299,public,,never,1262
1300,walk/bicycle,,very frequently,82
1301,public,,rarely,324
1302,walk/bicycle,,rarely,79
1303,private,petrol,frequently,4579
1304,walk/bicycle,,rarely,9
1305,private,petrol,never,6734
1306,private,hybrid,rarely,2226
1307,public,,rarely,895
1308,public,,frequently,1383
1309,walk/bicycle,,rarely,8
1310,walk/bicycle,,very frequently,39
1311,walk/bicycle,,rarely,57
1312,public,,very frequently,407
1313,private,hybrid,rarely,414
1314,walk/bicycle,,never,69
1315,private,hybrid,rarely,6926
1316,public,,never,361
1317,public,,rarely,1496
1318,walk/bicycle,,frequently,59
1319,public,,very frequently,752
1320,private,diesel,rarely,8003
1321,private,hybrid,rarely,5308
1322,public,,rarely,235
1323,private,diesel,frequently,6512
1324,walk/bicycle,,rarely,7
1325,public,,rarely,1901
1326,public,,never,1334
1327,private,electric,rarely,6840
1328,walk/bicycle,,very frequently,70
1329,private,diesel,very frequently,3371
1330,private,petrol,never,8669
1331,walk/bicycle,,frequently,70
1332,public,,frequently,98
1333,walk/bicycle,,rarely,22
1334,walk/bicycle,,very frequently,96
1335,public,,rarely,282
1336,private,petrol,very frequently,4501
1337,public,,rarely,1561
1338,private,hybrid,never,7084
1339,private,hybrid,very frequently,2258
1340,private,hybrid,rarely,8070
1341,walk/bicycle,,never,37
1342,private,lpg,very frequently,5123
1343,walk/bicycle,,never,15
1344,walk/bicycle,,rarely,5
1345,private,petrol,frequently,7584
1346,walk/bicycle,,never,12
1347,private,lpg,rarely,3287
1348,public,,never,1980
1349,private,electric,frequently,520
1350,private,petrol,rarely,353
1351,public,,frequently,1002
1352,private,electric,never,1059
1353,private,electric,never,1454
1354,public,,frequently,408
1355,private,diesel,very frequently,42
1356,private,electric,frequently,4955
1357,walk/bicycle,,very frequently,10
1358,private,lpg,frequently,2430
1359,public,,frequently,840
1360,walk/bicycle,,very frequently,93
1361,private,diesel,frequently,5608
1362,walk/bicycle,,frequently,39
1363,walk/bicycle,,never,16
1364,public,,never,426
1365,public,,frequently,1234
1366,public,,rarely,1489
1367,private,hybrid,very frequently,2583
1368,private,electric,very frequently,115
1369,walk/bicycle,,very frequently,53
1370,public,,never,1555
1371,private,lpg,rarely,8169
1372,walk/bicycle,,never,28
1373,public,,never,505
1374,public,,never,948
1375,public,,never,712
1376,private,electric,very frequently,3363
1377,walk/bicycle,,never,49
1378,walk/bicycle,,rarely,11
1379,private,petrol,very frequently,9096
1380,private,diesel,very frequently,8948
1381,walk/bicycle,,rarely,43
1382,walk/bicycle,,very frequently,2
1383,private,petrol,very frequently,9739
1384,public,,frequently,546
1385,public,,frequently,1316
1386,private,diesel,rarely,1212
1387,walk/bicycle,,very frequently,17
1388,private,lpg,never,7011
1389,public,,very frequently,1056
1390,private,electric,frequently,7892
1391,public,,never,657
1392,walk/bicycle,,rarely,40
1393,public,,never,1191
1394,private,electric,rarely,2434
1395,private,electric,very frequently,8052
1396,private,diesel,frequently,740
1397,private,lpg,rarely,3370
1398,private,petrol,never,1041
1399,private,electric,never,8941
1400,private,petrol,frequently,8541
1401,public,,frequently,353
1402,walk/bicycle,,frequently,65
1403,private,petrol,very frequently,1904
1404,private,electric,frequently,6819
1405,private,lpg,never,6673
1406,walk/bicycle,,never,3
1407,public,,frequently,245
1408,private,diesel,rarely,1589
1409,private,petrol,never,1047
1410,private,hybrid,rarely,269
1411,private,petrol,rarely,8073
1412,walk/bicycle,,frequently,60
1413,walk/bicycle,,never,10
1414,walk/bicycle,,very frequently,83
1415,private,petrol,frequently,6059
1416,private,hybrid,frequently,7238
1417,private,hybrid,rarely,7115
1418,private,electric,very frequently,8530
1419,walk/bicycle,,never,6
1420,private,hybrid,never,8874
1421,public,,very frequently,762
1422,public,,never,263
1423,walk/bicycle,,never,56
1424,public,,never,1218
1425,public,,never,1190
1426,public,,very frequently,1340
1427,public,,rarely,419
1428,private,electric,never,8383
1429,walk/bicycle,,rarely,51
1430,walk/bicycle,,never,71
1431,private,hybrid,very frequently,4671
1432,private,electric,very frequently,3320
1433,public,,very frequently,144
1434,public,,very frequently,865
1435,private,lpg,frequently,185
1436,public,,very frequently,1059
1437,public,,never,1943
1438,walk/bicycle,,never,91
1439,public,,rarely,1214
1440,public,,frequently,421
1441,walk/bicycle,,rarely,61
1442,private,petrol,rarely,5642
1443,private,electric,very frequently,6428
1444,public,,rarely,490
1445,private,electric,never,1927
1446,walk/bicycle,,frequently,60
1447,private,electric,rarely,6181
1448,public,,very frequently,1134
1449,private,diesel,rarely,6441
1450,public,,frequently,645
1451,public,,never,15
1452,walk/bicycle,,very frequently,4
1453,walk/bicycle,,very frequently,53
1454,public,,frequently,1387
1455,walk/bicycle,,frequently,39
1456,private,electric,very frequently,3002
1457,walk/bicycle,,frequently,71
1458,private,electric,rarely,3175
1459,walk/bicycle,,never,91
1460,walk/bicycle,,never,50
1461,public,,frequently,804
1462,private,hybrid,rarely,3754
1463,public,,very frequently,25
1464,private,diesel,never,2635
1465,public,,rarely,1427
1466,walk/bicycle,,very frequently,73
1467,walk/bicycle,,rarely,88
1468,walk/bicycle,,rarely,31
1469,public,,frequently,1495
1470,private,petrol,frequently,9933
1471,private,hybrid,frequently,8869
1472,private,petrol,never,3468
1473,public,,never,916
1474,walk/bicycle,,never,63
1475,walk/bicycle,,never,25
